"parent","node","branch.length","x","y","branch","angle"
128,129,1,5,34,4.5,322.105263157895
125,130,1,4,35,3.5,331.578947368421
130,131,1,5,35,4.5,331.578947368421
121,132,1,3,32,2.5,303.157894736842
132,133,1,4,32,3.5,303.157894736842
133,134,1,5,32,4.5,303.157894736842
121,135,1,3,37,2.5,350.526315789474
135,136,1,4,36,3.5,341.052631578947
136,137,1,5,36,4.5,341.052631578947
135,138,1,4,37,3.5,350.526315789474
138,139,1,5,37,4.5,350.526315789474
135,140,1,4,38,3.5,360
140,141,1,5,38,4.5,360
